ID	cluster
C1	B
C2	A
C3	A
C4	A
C5	A
C6	A
C7	A
C8	B
C9	B
C10	B
C11	A
C12	A
C13	A
C14	A
C15	B
C16	A
C17	A
C18	A
C19	A
C20	A
C21	A
C22	B
C23	A
C24	A
C25	A
C26	A
C27	B
C28	B
C29	A
C30	A
C31	B
C32	B
C33	A
C34	A
C35	A
C36	B
C37	A
C38	A
C39	A
C40	A
C41	A
C42	A
C43	B
C44	B
C45	A
C46	A
C47	B
C48	B
C49	B
C50	B
C51	A
C52	B
C53	A
C55	B
C56	A
C57	A
C58	A
C59	A
C60	A
C61	A
C62	B
C63	A
C64	A
C65	A
C66	A
C67	A
C68	A
C69	A
C70	A
C71	A
C72	A
C73	A
C74	A
C75	A
C76	B
C77	A
C78	A
C79	A
C80	B
C82	A
C83	B
C84	A
C85	A
C86	A
C87	A
C89	A
C90	A
C91	A
C92	B
C93	B
C94	A
C95	A
C96	A
C97	B
C98	A
C99	B
C100	A
C101	A
C102	B
C103	B
