ID	Score
R10832.bam	-3.440555754
R10833.bam	-4.279101174
R10834.bam	-3.910445753
R10835_R.bam	-3.922904536
R10836.bam	-3.41372223
R10837.bam	-4.281183088
R10838.bam	-2.724910573
R10839_R.bam	-5.039805857
R10840_R.bam	-2.549310786
R10841.bam	-6.393689344
R10842.bam	-3.317269627
R10843.bam	-3.118804302
R10844.bam	-3.255109064
R10845.bam	-3.140649227
R10882.bam	-4.284394678
R10883.bam	-5.61892031
R10884_R.bam	-1.676278994
R10885.bam	-1.521371578
R10846.bam	-2.120465031
R10847.bam	-2.502054957
R10848.bam	-5.291448609
R10849.bam	-4.677436907
R10850.bam	-5.584245425
R10851.bam	-2.955907655
R10852_R.bam	-2.105947292
R10853_R.bam	-3.521060598
R10854_R.bam	-3.112838156
R10855.bam	-2.412374024
R10856.bam	-3.151100006
R10857.bam	-3.15065994
R10858.bam	-1.680783036
R10859.bam	-3.618276119
R10860.bam	-2.996147329
R10861.bam	-4.47634635
R10862.bam	-3.45420276
R10863_R.bam	-0.928006997
R10886_2.bam	-5.835509625
R10887.bam	-2.138411275
R10830.bam	-2.685406506
R10831_R.bam	-4.238422591
R10864_R.bam	-1.738677243
R10865.bam	-1.792862088
R10866_R.bam	-0.452104169
R10867.bam	-1.991865909
R10868.bam	-0.616147286
R10869.bam	-3.636630724
R10870.bam	-1.323460506
R10871_R.bam	-3.499264281
R10872_R.bam	-3.071046108
R10873.bam	-2.896344398
R10874.bam	-0.033837861
R10875.bam	-4.090547583
