ID,G99,C56,C97,C77,C75,C58,C66,G88,C9,G47,G65,C92,G59,C23,C102,G73,G30,C6,G49,C11,C24,G32,C49,G97,G77,C13,G33,C32,C42,G29,G20,G7,C61,G26,C3,G98,C50,C87,G51,G79,G70,G55,G83,C20,C25,C48,C26,G6,G58,G8,G91,G39,C96,G69,C30,G31,G37,C84,C68,C65
ADAMTS3,0.002808186,0.01,0.06,0.03,0.16,0,0,0.219907199,0.28,0.040587699,0.002768107,0.06,0.120176946,0.2,4.09,0.012318298,0.051715045,0,0.019753453,0,0,0.066584059,0,0.040882881,0.016300946,0,0.146879794,0,0.14,0.051988552,0.037995207,0.003439258,0.01,2.743499763,0,0.103987561,0.01,0,0.204245376,0.210046783,0.044907296,0.016371818,3.594298714,0.01,0,0.02,0,0,0.071666734,0.006097517,0.003313847,0.02691455,0,0.02,0,0.16067917,0.007800782,0.14,0.01,0.03
AMOT,0.06,0.16,0.02,0.05,0.21,0.09,0.11,0.010058001,0.11,0.14388246,0.037231893,0.06,0.054676635,0.05,0.21,0.028840851,0.067619469,0.25,0.109137085,0.81,0.08,0.076318578,0.06,0.06,0.068087699,0.25,0.013848432,0.11,0.14,0.067771418,0.109976034,0.225345903,0.35,0.200025924,0.05,0.06,0.03,0.26,0.012148358,0.12036344,0.048302432,0.051814091,0.01,0.1,0.24,0.02,0.37,0.401465625,0.037884639,0.123170207,0.036686153,0.134200925,0.19,0.048915178,0.16,0.071040475,0.067302738,0.13,0.11,0.26
B3GALT2,0.117542837,0.02,0.03,0.03,0.2,0.22,0.17,0.0299942,0.04,0.101411389,0.043391357,0.09,0.015411838,0.11,0.06,0.006954894,0.091237167,0.33,0.049383632,0.82,0.05,0.035787615,0.12,0.084227479,0.02959243,0.24,0.041545296,0.02,0.24,0.090902881,0.002004793,0.21942071,0.39,0.073298768,0.06,0.038006219,0,0.27,0.027851642,0.05036344,0.090941488,0.128185909,0.014868616,0.13,0.32,0,0.23,0.278321507,0.007948728,0.133170207,0.04011692,0.067286375,0.34,0.128915178,0.03,0.005520237,0.019501956,0.24,0.03,0.2
CACNA2D3,0.299297953,0.21,0.03,0.04,0.34,0.33,0.86,0.170243603,0.15,0.287056945,0.116159464,0.47,0.106970716,0.62,0.02,0.088114043,0.075332743,1.33,0.059753453,0.59,0.24,0.069469037,0.3,0.28977928,0.116990538,0.66,0.162303136,0.08,0.22,0.075120015,0.150978431,0.740840806,0.38,0.039948152,0.39,0.229626121,0.08,2.1,0.160690449,0.15777258,0.30924392,0.136281818,0.381839381,0.33,0.84,0.08,0.39,1.292813789,0.093910275,0.505852827,0.113430766,0.06691455,1.14,0.124950898,0.62,0.058959525,0.047800782,1.32,0.1,0.74
CD160,5.522407201,3.45,0.68,1.01,7.19,8.21,9.74,0.240226203,1.02,2.357764921,0.192942178,0.26,0.829441744,0.46,6.93,0.217211921,3.276449528,9.95,1.395192333,27.2,1.32,0.839256529,5.64,3.928029357,1.324042927,11.38,0.663327507,0.84,2.39,3.266846406,4.271046155,6.235123941,9.03,5.221108341,3.41,2.076510703,0.07,10.73,0.295141184,1.369766087,2.126234048,4.616761364,0.096251849,6.05,6.56,0.71,3.95,11.95326158,0.771602645,4.989256961,0.183664606,1.534833725,2.46,4.131812444,4.28,1.353077983,1.162115253,1.74,3.57,4.26
CD83,2.599811998,32.22,0.68,1.22,5.87,2.8,7.78,1.020516206,0.92,2.615529841,1.559797927,3.32,1.331851716,2.04,1.53,0.985482558,2.036654854,5.95,2.121124307,24.88,1.98,1.402336358,2.63,2.190509029,1.978400646,10.74,1.316329255,64.88,4.06,2.032400307,2.665678856,7.006074192,6.35,1.968859337,6.06,1.70763234,0.88,6.34,1.047928652,1.365627904,1.635477968,2.548140909,0.550927085,1.65,5.75,1.59,3.59,14.09564483,1.4568588,3.657578214,1.50849841,2.3789238,5.52,2.422602655,2.93,1.405115492,1.69082816,1.63,1.17,3.41
CYSLTR2,0.761395766,0.74,0.04,0.35,1.69,0.46,1.09,0.410406005,0.22,0.47611754,0.166782714,0.75,0.152382554,1.17,0.42,0.104342129,0.456757517,1.98,0.531733252,7.31,0.24,0.15157523,0.78,0.509150913,0.243165936,2.02,0.363818817,0.17,0.52,0.455177257,0.307040742,4.95893416,4.48,0.546338294,0.67,0.28118383,0.08,2.03,0.39997433,0.284771498,0.612624607,0.665397273,0.621839381,0.42,4.06,0.11,0.43,1.680496692,0.131859003,0.798047862,0.16023384,0.626617788,2.12,0.664950898,0.78,0.308236915,0.373360364,2.97,0.24,1.51
DUSP4,0.17684079,0.29,0.03,0.13,0.08,0.1,0.19,0.0399884,0.1,0.092235079,0.007231893,0.04,0.044676635,0.02,0.06,0.020864682,0.131237167,0.4,0.138397444,1.05,0.03,0.040265481,0.18,0.134006759,0.035893376,0.26,0.093878046,8.45,0.17,0.130902881,0.082052725,0.259102936,0.41,0.129818531,0.11,0.075607463,0,0.19,0.037851642,0.09481828,0.078302432,0.171814091,0.055131384,0.06,0.28,0.01,0.14,0.506217278,0.027884639,0.097804966,0.006686153,0.184944575,0.29,0.159151783,0.26,0.038280356,0.060705084,1.19,0.02,0.23
ELOVL4,0.05789386,0.02,0,0.09,0.11,0.24,0.2,1.16E-05,0.1,0.130235992,0.027231893,0.09,0.056970716,0.02,0.12,0.022318298,0.079428318,0.42,0.029876726,1.71,0.04,0.048159289,0.06,0.029337839,0.081786753,0.09,0.015393728,0.02,0.38,0.079337149,0.005011983,0.179102936,0.33,0.093402464,0.08,0.004797512,0.02,0.46,0.001432239,0.118136019,0,0.084557727,0,0.09,0.28,0.03,0.3,0.468321507,0.043910275,0.165365241,0.026686153,0.033457275,0.22,0.080236605,0.1,0.031040475,0.023900391,0.05,0.05,0.2
FAM110C,0.127191814,0.02,0.08,0,0.17,0.01,0,0.0099942,0.06,0.096353532,0.007231893,0.01,0.029264797,0.07,0.02,0.004636596,0.032380531,0.21,0.014938363,0.4,0.05,0.003946904,0.13,0.089117119,0.054388645,0.14,0.021545296,0.06,2.16,0.032228582,0.015011983,0.136299226,0.32,0.02,0.01,0.038006219,0,0.49,0.01,0.078136019,0.067546352,0.064512727,0.062959845,0.15,0.31,0.01,0.02,0.298605331,0.01993591,0.101462758,0.006686153,0.016728638,0.16,0.053254465,0.2,0,0.011950196,0.39,0.04,0.1
