ID	cluster
C1	2LHF
C2	1SHF
C3	1SHF
C4	1SHF
C5	1SHF
C6	1SHF
C7	1SHF
C8	2LHF
C9	2LHF
C10	2LHF
C11	1SHF
C12	1SHF
C13	1SHF
C14	1SHF
C15	2LHF
C16	1SHF
C17	1SHF
C18	1SHF
C19	1SHF
C20	1SHF
C21	1SHF
C22	2LHF
C23	1SHF
C24	1SHF
C25	1SHF
C26	1SHF
C27	2LHF
C28	2LHF
C29	1SHF
C30	1SHF
C31	2LHF
C32	2LHF
C33	1SHF
C34	1SHF
C35	1SHF
C36	2LHF
C37	1SHF
C38	1SHF
C39	1SHF
C40	1SHF
C41	1SHF
C42	1SHF
C43	2LHF
C44	2LHF
C45	1SHF
C46	1SHF
C47	2LHF
C48	2LHF
C49	2LHF
C50	2LHF
C51	1SHF
C52	2LHF
C53	1SHF
C55	2LHF
C56	1SHF
C57	1SHF
C58	1SHF
C59	1SHF
C60	1SHF
C61	1SHF
C62	2LHF
C63	1SHF
C64	1SHF
C65	1SHF
C66	1SHF
C67	1SHF
C68	1SHF
C69	1SHF
C70	1SHF
C71	1SHF
C72	1SHF
C73	1SHF
C74	1SHF
C75	1SHF
C76	2LHF
C77	1SHF
C78	1SHF
C79	1SHF
C80	2LHF
C82	1SHF
C83	2LHF
C84	1SHF
C85	1SHF
C86	1SHF
C87	1SHF
C89	1SHF
C90	1SHF
C91	1SHF
C92	2LHF
C93	2LHF
C94	1SHF
C95	1SHF
C96	1SHF
C97	2LHF
C98	1SHF
C99	2LHF
C100	1SHF
C101	1SHF
C102	2LHF
C103	2LHF
