id	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C82	C83	C84	C85	C86	C87	C89	C90	C91	C92	C93	C94	C95	C96	C97	C98	C99	C100	C101	C102	C103
APC_co_inhibition	0.496610926559992	0.39199182574478	0.724818824244876	0.296024191661169	0.816922266200363	0.378909546073871	0.387397781311599	0.424050002408688	0.407715126089619	0.431373800951942	0.412541892266946	0.49127850673706	0.563089329878598	0.501242538265584	0.372183326821089	0.310124807579427	0.477075128276423	0.397034216027835	0.290849852147401	0.452643660190137	0.54228920332834	0.455709886848168	0.570463442930102	0.497680230683914	0.369562561753855	0.492650471384275	0.54995668107293	0.508540247317377	0.36866150462104	0.219826334291118	0.651903958346331	0.188927638730085	0.395385362025464	0.428484590670401	0.543793851786405	0.526237281494341	0.470437474025321	0.588197908918956	0.422711008643938	0.597239450112946	0.457532323932696	0.614845556443388	0.438438886208317	0.438159139847034	0.598917005889536	0.485841952697726	0.465798291422522	0.44149301430229	0.401175861632006	0.377142190706875	0.486041008460916	0.711664511009588	0.677329105222467	0.564002509967845	0.648896225683646	0.300610617706126	0.318156324874339	0.460897815583311	0.321431510231658	0.543940150100334	0.608017025871666	0.531424619923967	0.467691440505174	0.582864920295823	0.448868882133027	0.454535900629537	0.397475534717688	0.493865178834087	0.626878040650298	0.631720983264314	0.555732181530007	0.547727158830127	0.528756420177071	0.618984779000016	0.477046884073978	0.641434925328979	0.591632284981325	0.446657006921282	0.781509148472385	0.455089051419189	0.551582302465435	0.543756077687034	0.507746304552359	0.457820007160832	0.401376369698731	0.364064847810349	0.332077159219652	0.330857790600494	0.513950672803226	0.38218389267807	0.442913646492267	0.318321669141384	0.323480944576657	0.522811397086128	0.241208270014261	0.496622985486135	0.574321311564093	0.287838583485844	0.653945326701602	0.745205212727764
APC_co_stimulation	0.230792145619892	0.171533020194751	0.197266002715086	0.173640167159628	0.176011669002188	0.192179778298154	0.219957527969545	0.099328536157087	0.216302382786281	0.143065370080575	0.221952115518602	0.171226147022514	0.18122206684929	0.228822315406029	0.210173188258178	0.225572946264049	0.179818698238771	0.202159484054584	0.189432009146255	0.171125964735121	0.155245339254133	0.160495924290478	0.130546951942994	0.143750030536511	0.147479837529283	0.202726099129022	0.125340673961045	0.226235979975819	0.159662188150381	0.152016722125523	0.152968940170109	0.19533818802028	0.21664494280253	0.195618854701405	0.19845350329164	0.183522014479223	0.172730992863599	0.144606272243558	0.175726131867217	0.164664472058716	0.169265378938946	0.205227205352825	0.110400372030449	0.223705740595531	0.19595330529134	0.166824151009095	0.177501635140244	0.111155752900431	0.155328123186104	0	0.185664558945781	0.165604970634174	0.278164406311089	0.176825220033357	0.243143774958221	0.224373782199864	0.215863683822362	0.205330485355938	0.150876345841644	0.233221291267187	0.224795767805542	0.238134559374605	0.174048277077526	0.217981645941161	0.236915147259671	0.243907203731523	0.131094276850327	0.21496243398245	0.2564707540796	0.149908464448844	0.184151742400371	0.208174096579352	0.184474260555447	0.232412720187208	0.115468504797467	0.165464502288265	0.183109202744748	0.184104172399696	0.186645440183111	0.184046544180523	0.20100823884571	0.149993363398494	0.12514428348455	0.216695563726008	0.181402107461137	0.175629528494985	0.169290334507002	0.189212219442309	0.17216820338918	0.169361667212919	0.173807033228994	0.198307218240568	0.195176151722561	0.202982313572663	0.170191178252163	0.187119861472654	0.180779849903649	0.194109722690847	0.159114168897715	0.229537159945632
Cytolytic_activity	0.903203133135356	0.869043982594657	0.868025295451782	0.934273102217074	0.836518886349193	0.924957912477027	0.951209303167605	0.491837373395832	0.769403009982073	0.873299600446543	0.956256601027603	0.921559259571752	0.920224656922312	0.705611140988892	0.675697598898592	0.962069436922371	0.942860830416074	0.927261934415496	0.889659765382752	0.789812832665123	0.831168362707979	0.49762011813269	0.702085574041531	0.731026981855084	0.919124835921819	0.836282898872178	0.898282681198642	0.675115602314387	0.681027035463906	0.898432011270054	0.689149196631051	0.795178056356014	0.910739587044678	0.865324460289735	0.85681692994062	0.873447209950839	0.906313414331632	0.746336829038458	0.762098040554663	0.860361186460694	0.628909181007658	0.81195981421161	0.823271156838126	0.733105242073142	0.842494893519222	0.891697326446122	0.83916122834006	0.758265305753933	0.944685371110711	0.713054539123038	0.928531112554145	0.919188737753678	0.939974151493945	0.72694486533772	0.884664126871906	0.964425191568748	0.952070504551685	0.846429039853803	0.967928862500212	0.955797336210518	0.896880667562718	0.807813648330482	0.523998607898135	0.902122351922164	0.950758852778276	0.918697038382831	0.92797503801749	0.955226719306896	0.96006931624639	0.784202831214847	0.978074613146835	0.951211206814655	0.552735754223426	0.912639658882587	0.403356289189812	0.821390890076984	0.695924881518625	0.94047092211949	0.807074794814481	0.910650591860964	0.969627720063454	0.860419500456558	0.903351114254634	0.941716266305019	0.933018328133003	0.713341233827283	0.92507374711569	0.943881378268451	0.692550767383545	0.93159377744836	0.969029444519182	0.811741292547926	0.927883927341057	0.874209608353385	0.892734905543116	0.874052341554178	0.942306288035294	0.863948851435951	0.912980932539604	0.811021696599327
HLA	0.686531971980515	0.761423529815192	0.767854555764784	0.783762965383534	0.759848840458465	0.77547351535121	0.769759042183106	0.610676197388531	0.626601717057473	0.728834657268178	0.793506835724161	0.723806491799567	0.733820561611408	0.657563764579616	0.662712207628236	0.780462962740091	0.768055016622357	0.794895100826762	0.776754400984245	0.682369522046936	0.65185232101565	0.55506369270806	0.640455469683023	0.634001837100697	0.750957787618632	0.738512766469918	0.685955481653014	0.661763926846428	0.670637627211016	0.740216774723445	0.721606659383626	0.646426140541163	0.766172493172433	0.767224076353926	0.66932947987393	0.655955076006956	0.731319860543664	0.658137094503779	0.698734266852807	0.674032900985576	0.64939340733322	0.700293191446014	0.610179605762854	0.725636383128243	0.68612978408149	0.775962563890921	0.667496552483216	0.698489979793223	0.834803428339342	0.793501668282954	0.749279928878671	0.664333281134841	0.770304379318809	0.651863449176265	0.755622714820972	0.761458935664314	0.795897668123206	0.783867131218367	0.799463378742947	0.7804409242336	0.726963891996186	0.766654720544115	0.720036014393289	0.687061703461214	0.838827600292311	0.713602079150265	0.767188129722772	0.740533787264348	0.775472716961352	0.706248923544712	0.806931550006122	0.74443898469032	0.797972984282477	0.708618528732496	0.528913242652882	0.700777292816795	0.718472707272273	0.788770430879578	0.681442103389474	0.763781052279234	0.798782619116893	0.683506330477188	0.741215776052467	0.778708535313189	0.8032660990128	0.7254433986162	0.765058468535229	0.783977684949735	0.73450922977313	0.72077253181944	0.808947944727756	0.688386737315536	0.769382089208586	0.682752325434321	0.762661010119919	0.684529861934476	0.727428727692036	0.813812139763373	0.652862984314666	0.612026176807464
Inflammation-promoting	0.454408636288171	0.456976254156011	0.499279179512913	0.496565625383108	0.461235542623581	0.496189357540632	0.490058921234944	0.25215792773593	0.365389921502207	0.398585401281817	0.498262844246751	0.420407363908527	0.535482050233862	0.338183474124998	0.329107023763393	0.477958679108366	0.487228451580014	0.494789363476301	0.471937440803995	0.39418645742203	0.409559672894706	0.226311252352851	0.30156189205326	0.343417903698625	0.445147070332528	0.444548338858104	0.450256373617338	0.320687145140465	0.302011354266192	0.421469001208874	0.419298338659759	0.36780982629799	0.481618030904643	0.442867858098705	0.431626773306653	0.426130479923053	0.430304132907889	0.389150933170253	0.382233633166543	0.426706007525571	0.314775438129274	0.440198949438279	0.358504778379757	0.374954740604509	0.40547397154175	0.400743959205672	0.387918118095875	0.337351513130508	0.469309833058423	0.39014472421605	0.448510898974	0.414449094521232	0.524185256699163	0.354154312730986	0.474922453275898	0.485357296164971	0.477440582563044	0.449369489390898	0.511388724469842	0.514301182527834	0.446737158695363	0.457971143644416	0.274864162248839	0.482441125729584	0.537912903733491	0.469310690809694	0.456062923839959	0.504172760591308	0.551793301500971	0.394437990394055	0.573837869146533	0.484411262883865	0.312351360533764	0.486335938664909	0.160439542962063	0.402581863119883	0.343085288201898	0.487523878551399	0.425914184183114	0.424925027774467	0.551013540977094	0.401293181732643	0.475899950545263	0.499796193268403	0.52561577782815	0.367432347625898	0.487345164153992	0.487609440895305	0.339818159190824	0.494026295548416	0.52335016339281	0.404771393444825	0.498777736159423	0.40645711427062	0.396620483935103	0.406034604407407	0.502624249847891	0.430814966922668	0.499299720544255	0.441813046990164
MHC_class_I	0.994752412038399	0.990686915192355	1	0.988740033841827	0.999494261071551	0.990651452052229	0.990653350959059	0.988036982419023	0.990650925259827	0.991961141344791	0.991689321098538	0.992569194100789	0.994682042250298	0.996835094517649	0.988939774490173	0.987636890980347	0.990684468849271	0.990418335293969	0.987931725642501	0.992161007971982	0.992736495701793	0.985130270428372	0.98732963954034	0.986667257627327	0.988640026441907	0.994012890581148	0.994246360521852	0.992333297981129	0.987976742643666	0.980541778356413	0.997406271497034	0.95203210989458	0.99461591121342	0.991961466635055	0.994884719977556	0.994079011199369	0.988499975747455	0.996431955591557	0.989648476478949	0.994850415634829	0.987437785407413	0.992061210098798	0.989814261648258	0.990722683917926	0.991221529724278	0.98643260850772	0.991123197501962	0.984091726027525	0.98904621086042	0.982933163948061	0.989182645990343	0.998518028687881	0.994817877081438	0.995321284766174	0.996331387682483	0.989141813168983	0.982909210668723	0.99138764034421	0.9888374014635	0.995050337841689	0.997878033535702	0.995018623084516	0.992836213974084	0.995255795276025	0.994684222996507	0.992131917543334	0.987169093757935	0.994347332844817	0.997037171437188	0.992634372551247	0.995558055062846	0.994179997217513	0.991290602560825	0.995422450148078	0.973965232991799	0.998652470080375	0.988370748858759	0.989308533029319	0.999460952431703	0.988843631910794	0.996634915308684	0.992769103425118	0.989983631147063	0.992735516554697	0.991960486112946	0.991094147981437	0.987705947942476	0.989175558713649	0.992735735119395	0.989846021960669	0.992496418008952	0.989783489049774	0.983721352212452	0.995155174988007	0.983156691165202	0.985528928460822	0.993172364455361	0.982108588749848	0.994076504005678	0.999628541650917
T_cell_co-inhibition	0.404342503026175	0.357613384154879	0.434539182160622	0.441282392769715	0.450909877345084	0.432122475995758	0.471237012720207	0.23157437088309	0.282789071317134	0.345843540872572	0.555959479487294	0.365719964179871	0.510493936253098	0.300355796166818	0.277191698521915	0.463473636431947	0.443531733031896	0.38978667284874	0.375599509341447	0.314853418000065	0.34541949221186	0.255063563758452	0.318530693349409	0.303996856663809	0.36995835682743	0.393515470845371	0.38353649594381	0.287835571973938	0.313125875881657	0.363953323513843	0.350967742236724	0.214572802376005	0.352635276072743	0.417936047113555	0.393086640961133	0.371120536730303	0.412156839156559	0.33550569658989	0.353385456575715	0.300849917357066	0.238414548530839	0.407128050246278	0.27577209485092	0.372536694968806	0.447683012169953	0.418111430087396	0.393793755009481	0.295797016185366	0.467988171900139	0.274982643762508	0.381992028883852	0.376180322167943	0.543032500788441	0.327268457813204	0.430325010059126	0.429568913763275	0.46957723523806	0.424298814880539	0.478450367722538	0.485989605969951	0.428953650977716	0.368682258292573	0.259753275619294	0.410551636232246	0.500687248532477	0.392649512380695	0.422446435319896	0.454161557597436	0.4898140605494	0.332639533983255	0.555137668910424	0.468526808520885	0.339987921262889	0.431413076739891	0.298985750471358	0.324134016405396	0.402750870488992	0.461064800761471	0.34706869481571	0.403352678086778	0.494381617618593	0.4862545404068	0.427802078064597	0.408124298423729	0.463672720121644	0.311666538335617	0.371983525350794	0.422689991525443	0.329645663680251	0.382225568038572	0.54114196313056	0.317682203702985	0.411878987383114	0.288901522329496	0.287674998427008	0.350491863443051	0.453118810708987	0.393039204832786	0.494035620865804	0.394928326380048
T_cell_co-stimulation	0.285915271418716	0.322575360775424	0.227387225098983	0.377456370349706	0.229989866347539	0.412004161633803	0.447433725497911	0.0405952297016322	0.223910193572499	0.166541269701072	0.463018292071935	0.198331151856291	0.345928215640083	0.155332059363872	0.234300707483556	0.315366120789172	0.387099909305849	0.300943134243536	0.237347807343596	0.210822855152496	0.17709641323291	0.0554426256727314	0.149932257043217	0.207986387744619	0.343605402647773	0.244954200012066	0.230222589659331	0.153754020724448	0.156455520942216	0.23039757700988	0.224028691745684	0.190031820079684	0.298079120041876	0.312220261698273	0.294663721312183	0.23725931115711	0.292487235949671	0.223715605226493	0.206872581561156	0.125400646725309	0.190229489500912	0.292406709306495	0.117498435754601	0.198526526961313	0.256615672975674	0.339223271324132	0.25212852221299	0.144993168781399	0.345207573201794	0.111552051493558	0.222177647239573	0.170705387809929	0.332323229112326	0.177604514339197	0.272337655558104	0.380988790278864	0.433129679217305	0.418569902686848	0.408993976829446	0.342812294732946	0.338190629966152	0.277875110392952	0.140439351122706	0.26211826359	0.341137348882666	0.288365608633411	0.233611930196587	0.338974847626137	0.320640723038712	0.237438940864121	0.398200063360446	0.339812103324384	0.302626848026196	0.204607834285792	0.112365239517409	0.191594944105084	0.154357296235461	0.339017829717855	0.263034907166205	0.360906670182185	0.246746129654426	0.370366746347602	0.327482448268321	0.337425382681862	0.333527693219239	0.225377834268625	0.323964657464837	0.434316058357541	0.234566671328038	0.274426364437137	0.450821099860182	0.287867039858744	0.410881836230333	0.235774019743773	0.285396538158184	0.299959911039645	0.285022535957875	0.36419578571984	0.192674466546631	0.304825565988354
T_helper_cells	0.932949653619358	0.860606051910396	0.751331800377978	0.891465909982051	0.610691791461255	0.872949995139058	0.905732270598784	0.611905949811615	0.626475850015937	0.689915623822258	0.922629307641297	0.562327817171906	0.867891002012557	0.350558364896581	0.606948136547644	0.919492731902866	0.893388327370122	0.902190975410233	0.88367506056724	0.553525169131795	0.579629573664539	0.341350997406349	0.635278498056049	0.543204823153733	0.906238169911434	0.662192341489033	0.675851622930585	0.527623124324111	0.64519412458399	0.747082246151717	0.554638147619625	0.542091844665903	0.76114624704339	0.843101935692703	0.608162294898004	0.717031826980302	0.796458019066365	0.507791871268227	0.64448586554628	0.455987781652859	0.443441478699137	0.717436546430422	0.424723204131083	0.735143022373175	0.606543417097524	0.905024011561074	0.732411166084865	0.632344282042678	0.859594253285096	0.602597402458853	0.894096586407832	0.801618192055396	0.834906366827772	0.557370003907936	0.815682192947069	0.913826659601185	0.862123749848346	0.920706890253226	0.937806287020799	0.877705448677969	0.831263891776691	0.779560982023853	0.659764024788313	0.819931747173329	0.88529393836772	0.624452252765337	0.714299970691992	0.905833450461314	0.8808420244164	0.640033951594959	0.894096586407832	0.94053814330911	0.850083346207274	0.783810536250113	0.64266462802074	0.634671418880868	0.836929964078372	0.874771232664599	0.625565231253167	0.906744069224084	0.838447662016322	0.837132323803432	0.76448518250688	0.873860613901828	0.901077996922403	0.799898134392386	0.780775140374213	0.861415490810636	0.691838041210328	0.686880227946357	0.905428731011194	0.776120866697832	0.816896351297429	0.438382485572636	0.794333241953235	0.662799420664213	0.88215736262929	0.923539926404067	0.446982773887687	0.636593836268939
Type_I_IFN_Reponse	0.881926014911201	0.749119785494201	0.883774995321946	0.719407567690583	0.808061464528494	0.729794682263004	0.743518065441549	0.65399640613051	0.725847154329465	0.827576002378016	0.68882071906797	0.623216756154092	0.808223076451635	0.798819458495756	0.586082876211034	0.684732054047281	0.74606476750007	0.787655294211125	0.729524288993466	0.768460738981719	0.762020613193694	0.681553711737653	0.652487125005135	0.717384130610049	0.740108235838535	0.744700623843284	0.78481859308456	0.778605367313972	0.693393982244743	0.546084565289966	0.857893200212524	0.652183228788089	0.820077354383835	0.786704623574802	0.802658569579595	0.788721458018443	0.780738223500053	0.808250759388099	0.738254107236387	0.805233133775564	0.693917403494539	0.770391436022709	0.691086824894261	0.70585152738888	0.719552842349835	0.526728878901767	0.643878495073429	0.791909466955938	0.772735091412576	0.629819187399984	0.751345240001309	0.877186951256373	0.815611807060313	0.825861500110221	0.858899574081301	0.739525954352088	0.755099912133763	0.830877695298063	0.707247077418714	0.788119134598653	0.85439808606591	0.849090438409856	0.703884018440431	0.853404371387387	0.880446330107914	0.734782339453238	0.678962848160366	0.795860362032834	0.860300285479026	0.770521493555821	0.845918189147444	0.866843383272377	0.718757112899699	0.852074619239479	0.446547537017599	0.836713961334763	0.597019450302627	0.588952889374378	0.884897676928225	0.735393006828132	0.874934498338334	0.782999368225725	0.729296744408047	0.820438715020148	0.744647100167254	0.764707742024898	0.727060397300786	0.694723406857755	0.785066589343167	0.759919633312953	0.847041709048507	0.728374655295866	0.70888145871087	0.838995810454585	0.626665048791966	0.750358685186151	0.834955541317622	0.612257605163577	0.861716505285108	0.874912560942074
