id	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50	C51	C52	C53	C55	C56	C57	C58	C59	C60	C61	C62	C63	C64	C65	C66	C67	C68	C69	C70	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C82	C83	C84	C85	C86	C87	C89	C90	C91	C92	C93	C94	C95	C96	C97	C98	C99	C100	C101	C102	C103
Activated.B.cellna	0.0889579290378077	0.438913401502702	0.272724136790048	0.521839238499097	0.42597672852107	0.457013167969604	0.530734851243477	0.315228316560357	0.503983111204569	0.393370392052588	0.5339247750491	0.415245095520639	0.466735257594933	0.456396243590967	0.399286839677121	0.417905148128494	0.437792592949339	0.471014493879333	0.49005291819768	0.415978213966478	0.345326234648393	0.340090902773676	0.30699858955159	0.386187609094173	0.40184784372195	0.492554365660229	0.400755161395056	0.410517017453903	0.354823907463046	0.491492207191273	0.495757158970617	0.263663367727587	0.46014903302278	0.457414085644714	0.470946864449554	0.375605937985075	0.355193961121029	0.41963762513667	0.406924312327682	0.395577040598407	0.404367220113986	0.51159227759019	0.309495833056353	0.478839869461497	0.401987062621375	0.440751498646066	0.43766014908605	0.421403813144346	0.424822529908951	0.386016489344342	0.356903886135207	0.0405903739607064	0.485451808225557	0.415782495265008	0.453532263270858	0.526820574027986	0.536549273790636	0.518187870446412	0.345536796189444	0.475658628248828	0.334448357607517	0.562738786596544	0.425153203975847	0.421759603648876	0.515809954595698	0.546891816517136	0.470386855621483	0.472978243230463	0.344657963391213	0.408113266179791	0.475365949869877	0.404696437688392	0.518739141934332	0.3674353852932	0.258196018372601	0	0.356536618402698	0.50429667641443	0.317266744676305	0.301146585995737	0.308752502640511	0.253668384584934	0.407916821750418	0.508858697097666	0.50537617831183	0.377564608789102	0.510826479877606	0.492569860265997	0.411199540080102	0.54541947202322	0.478650970091357	0.467429259968806	0.561024746570755	0.490103357542738	0.391286979188665	0.407558553923107	0.383829885542632	0.561547345009636	0.370820965343402	0.289075759395332
Activated.CD4.T.cellna	0.374883896143162	0.433209345389786	0.365620369814177	0.44043775662814	0.406413327373109	0.463928855515541	0.494090582369537	0.397052092919457	0.422495695530701	0.416682986280848	0.557080524075224	0.426521415965181	0.50992795548916	0.405785773338437	0.393626600041449	0.455454649558037	0.43626459096087	0.392155645248068	0.403957281694902	0.361948626014132	0.388359672941157	0.401812522217403	0.349716386907709	0.345802152286371	0.480109803377481	0.395559128755708	0.449529621081928	0.337660658128039	0.318005282643084	0.433962097097622	0.479717024153916	0.474794283090472	0.398923811432568	0.434334540317485	0.481012566428312	0.391046234330493	0.400359412950522	0.395910772735211	0.42229463411926	0.415751606370922	0.332553227953187	0.452914041999245	0.380166236880053	0.38107036555182	0.415609973630239	0.380867580080615	0.435851371662179	0.347961364851987	0.311418991006827	0.433786481744816	0.343019430630925	0.311335474478242	0.48974314134646	0.383528778139281	0.437527973430039	0.459404398792288	0.30678850272985	0.450345443586072	0.483066533958908	0.508357110540558	0.471813164685135	0.418471296222328	0.311209998143684	0.364172804153233	0.35118661868863	0.403320970900296	0.326957119130472	0.461842664899704	0.418785786056856	0.460711500995528	0.414894720591441	0.42549119961821	0.409762672838287	0.361088443534067	0.384598187780774	0.376822934185643	0.343152809638334	0.429938953461581	0.350766546292728	0.385454049131235	0.381674452956583	0.466048867420197	0.318184347868865	0.403356166307269	0.43145049094181	0.375756438630514	0.459483798279049	0.399286019571761	0.360884745314015	0.461196822732565	0.433898725936005	0.423646376634897	0.34101812473923	0.389122200213341	0.385653195235009	0.324041342368512	0.400309203671825	0.42151375312189	0.441924790998913	0.358617574768669
Activated.CD8.T.cellna	0.67865082884508	0.710359548419482	0.660841917005985	0.758097491552589	0.679859770307945	0.771203764314485	0.773955818310861	0.505418193484032	0.660551183354147	0.638547332047413	0.79603692758633	0.691059763335891	0.759777646000223	0.57083115522402	0.635237111252975	0.771324444796969	0.750649471793788	0.736353423398709	0.698160158765984	0.629548223662545	0.640876200064361	0.518909714717695	0.585833838791643	0.608169770701837	0.734530496515212	0.690362866573885	0.719006407094928	0.550931102200579	0.583767996254223	0.722374487686223	0.63310432775483	0.633600399255505	0.704410234401082	0.728631535892987	0.69742647778944	0.66785424983261	0.704891105013096	0.640476863805567	0.662688581543738	0.624726500013847	0.552670718276083	0.676437493104729	0.615561930339523	0.622346496966795	0.680902827067836	0.740021374986633	0.694822721530617	0.634265676574043	0.741276314883011	0.665715960038691	0.702176951074331	0.613590165363952	0.730621742238185	0.589342885559663	0.675733344361479	0.786552818329643	0.754787087712064	0.747215197090167	0.796144450726184	0.761295253070037	0.704581701314591	0.652308657327896	0.499085620744963	0.704303827478719	0.748314133017509	0.735431171969122	0.7200166284591	0.741731816087094	0.730018299764992	0.653525959966419	0.775595539590979	0.734498808886013	0.579098436498774	0.669534045060452	0.5309688458787	0.65230727926054	0.618948337077517	0.770777554168553	0.631943182800617	0.72144257572401	0.751858058034749	0.728833477987219	0.721018591866103	0.722606305449948	0.765392704208113	0.646048590469056	0.771388185153705	0.793860595318462	0.632809941684379	0.718284322532194	0.801185448094696	0.6878276811611	0.77715718515881	0.653880114012777	0.722194798552141	0.698630122170803	0.725401051692689	0.734685356763815	0.692852249647409	0.640083942069011
Activated.dendritic.cellna	0.613803091972613	0.6478009287	0.650240069805052	0.572716656073414	0.60427187046187	0.594133935701532	0.546156690437876	0.656931171792024	0.627226000379053	0.638703298309313	0.574939108371635	0.637537506534065	0.595800827651861	0.599080448925444	0.657200166400593	0.619592028515551	0.619210716891953	0.674979785127544	0.60128303189137	0.61888655570626	0.640184298829822	0.623305803694395	0.617273150313964	0.638209472644286	0.611802758946609	0.627338676617066	0.635922613290782	0.627099019218389	0.597701638563746	0.605791014381448	0.626379473891639	0.630203117713304	0.638875301732364	0.640398680797346	0.608404105199715	0.637816275040486	0.604491208043661	0.582361855184382	0.646931787491956	0.630990124680346	0.631495982935839	0.58316133807976	0.585064957961857	0.635940142724914	0.581236629872392	0.607686628609897	0.613577887589122	0.618435952070158	0.608024058682121	0.637510561571015	0.617646070649533	0.584630961575527	0.611250989552661	0.602840131819003	0.619602586068377	0.55303919831454	0.580934522010814	0.597029642569924	0.6233978824318	0.575512237756145	0.608483578704565	0.564219857280695	0.596188545517468	0.597567902580641	0.630310544771283	0.629279998617889	0.591542869301388	0.619223127472625	0.599148645752695	0.638994081826803	0.560191167479975	0.55585190067988	0.629574202048582	0.605615098996152	0.621848349787936	0.64320154289799	0.600330436058579	0.595009144504653	0.607223506952048	0.602390960608728	0.645887275683542	0.586694732493656	0.559183264248329	0.59522406010711	0.60998671716667	0.600673895387356	0.596173776596345	0.576947637093398	0.613921851964815	0.609970697794354	0.564594144185508	0.603273634686884	0.533786276858302	0.638678477755956	0.57070321220501	0.589137468641165	0.60666247700639	0.568101757088001	0.654535602287374	0.65563554593672
CD56bright.natural.killer.cellna	0.342131780726475	0.353909684880966	0.352346575030876	0.363286256884733	0.339437025913081	0.36096090127471	0.343052461226666	0.310934033517631	0.304018922868232	0.313264187140303	0.348565321710505	0.312270813193649	0.351343418256583	0.326328014450927	0.34029055428357	0.343593599508628	0.3281132821104	0.359427170153136	0.336952882877386	0.298669537511504	0.323066102041428	0.3071494285483	0.314757231783256	0.283590701221717	0.321138623921896	0.308341707188185	0.326093495477105	0.330764991503012	0.361543716752642	0.33871382843577	0.344595804667437	0.340231763434247	0.338282468740409	0.371680032118999	0.339120722915839	0.344278592334298	0.334543417325121	0.298542919181886	0.345828046935334	0.326433646812883	0.343662285796403	0.329993651804174	0.362378706653518	0.350394981731523	0.347102982399948	0.33211893365842	0.335405848460675	0.324972207160713	0.378099767934146	0.369010356245718	0.349539482043835	0.340183735872128	0.341456690905351	0.351992026446361	0.345866444201931	0.345352789457707	0.376958461714661	0.326812243911345	0.366514340657082	0.350175670969198	0.33321237014914	0.340338512495954	0.294736831787561	0.36320338446095	0.359562611190862	0.339424820274965	0.342877070692191	0.355349733469598	0.351188742684324	0.333693622256435	0.386794808842459	0.364838448893091	0.36282161555115	0.350448715243471	0.347109552704618	0.326031412323425	0.349113870828905	0.333242147304679	0.354555546263883	0.361338036979822	0.348204928291466	0.35932453094798	0.383652541764819	0.355848587296303	0.35959563736344	0.349780195581964	0.319160189342085	0.36641615393004	0.334558681096022	0.332245232462579	0.359536523657904	0.33404783269872	0.356959303143347	0.313649901510365	0.332103157224705	0.328070421938392	0.373958361846721	0.385922715103132	0.33840902281675	0.396391508514896
CD56dim.natural.killer.cellna	0.189685997819797	0.21598301612372	0.183024773186613	0.244596426111914	0.21111286582759	0.2495128323012	0.257023959511364	0.184037599622054	0.186416066990758	0.192532623289671	0.265738704652246	0.178931616697193	0.275723505734566	0.153013506651571	0.186631723801871	0.27062322978617	0.254273805824768	0.191555201036386	0.159978754511694	0.176035502721564	0.229214606264333	0.160412753182441	0.212878711545019	0.212763778611808	0.216884031115454	0.219130990241877	0.203305022837904	0.143924021279362	0.171962303534067	0.190081292670175	0.184178658571527	0.303782962582193	0.262121362260493	0.188683543743476	0.208571475895892	0.179035041786329	0.278418044114849	0.199383708934099	0.182225035400634	0.226382651733722	0.162676244151404	0.191800672918331	0.17966202758903	0.168615148872494	0.178002132656573	0.20323401955807	0.18115153713921	0.20086288762339	0.296482780077367	0.187038957659392	0.19258466241526	0.240273245749348	0.246253039195412	0.21030753065684	0.179738922206244	0.247539646698176	0.309291132291766	0.25012574761908	0.245103505552645	0.194173269857236	0.220526295028814	0.213488495469457	0.196350758179783	0.191412305488776	0.239213461770183	0.22884379140754	0.24438876082842	0.230187509374186	0.234264424784102	0.200870250101214	0.287248624188406	0.220297827449244	0.173734981720496	0.219514899622139	0.191969364384401	0.212609554726857	0.194643542767571	0.246973609368408	0.23108685016575	0.231158854708368	0.27579307900054	0.19994362740777	0.288739517353204	0.259020098911985	0.282178813885401	0.179714890588295	0.241319803561954	0.292010263382535	0.187611777848726	0.215446407678767	0.266006891483671	0.188894457011019	0.23928494800729	0.249670160494531	0.237890825541195	0.241053692458552	0.217644992093244	0.260164189659913	0.253375269364314	0.295050741219244
Eosinophilna	0.174803850282551	0.31310069103943	0.239955731318806	0.372709227837411	0.358506735286816	0.360781309619049	0.266924433229856	0.320177708326695	0.206183930634837	0.241987740311155	0.260735144038054	0.240193207342538	0.332202945413348	0.285059022542229	0.304642574547215	0.25619805038599	0.288941889174722	0.325332521923211	0.298283652865467	0.292252185773946	0.25453109667298	0.274980089964101	0.335995198754917	0.278018249706645	0.247083031435	0.314026043302344	0.324415061963162	0.315801796953093	0.212679234879603	0.24589563359365	0.36762114158052	0.317320485459066	0.198101570730479	0.417569706970698	0.334815527296539	0.268019789155599	0.327899456323658	0.361240867309329	0.291953707724837	0.236031966154112	0.27325410401573	0.285890764825356	0.369536288992085	0.304247180701403	0.465259150628184	0.352479646646971	0.307447353171082	0.298181289650191	0.278216927487828	0.292814694694897	0.249335464877509	0.251378802494078	0.294032551184253	0.367281343486979	0.355747895289661	0.200002408791217	0.252700896537819	0.338775741916248	0.260353051321911	0.314198621856094	0.235962945891819	0.223620585829785	0.262397546664976	0.26245483374581	0.185415874300642	0.151769404747371	0.180676822820055	0.26894288915884	0.185491913366284	0.30994837294613	0.293600315394308	0.206604647798379	0.27957560738776	0.231325193955823	0.287855430768069	0.302174720533053	0.316036739997265	0.376741908122377	0.234993469569718	0.254843276679794	0.266618304388278	0.326681738781896	0.347207642649285	0.20175913536511	0.233971525467182	0.34223470588834	0.257251555005976	0.32005793752331	0.208948682682674	0.198707527028284	0.20001963679187	0.243755096825026	0.33837854373903	0.234064844535312	0.190315321123672	0.230276567663131	0.248040922587551	0.254248874808529	0.210626268146787	0.282657843017269
Gamma.delta.T.cellna	0.565166063154989	0.542065163761477	0.541875775626672	0.557207829543537	0.537207522643262	0.543868804802671	0.556753989525704	0.550288111293842	0.542573351886318	0.539617844017972	0.5525634633518	0.534180580941175	0.557285940265177	0.535793697237494	0.524801556331321	0.564233490121828	0.553171334160818	0.566083976446987	0.565478925482572	0.525031123699514	0.554311266908436	0.516918122028005	0.529807070469065	0.522265843216436	0.54063289532425	0.540150321199192	0.541632042406032	0.525787198545273	0.555591630208905	0.576613193333891	0.533587862970864	0.533600309114359	0.557065330920053	0.536987085234096	0.532718723771897	0.548526588578811	0.567573689214527	0.539437358860917	0.550453896251345	0.563382576876564	0.534145389131614	0.533870192693836	0.521149124834306	0.552617430260044	0.542064833792848	0.563636959869869	0.540701363149903	0.525474430321176	0.542370538523175	0.554379554868888	0.567383667549335	0.556960110728683	0.553837104908879	0.532608565263827	0.547276088426451	0.552117859857906	0.523361533268329	0.528299264226502	0.549645948349384	0.56390633702737	0.547900151541655	0.556608881050193	0.510459741634169	0.545216294692642	0.559629163110766	0.548175186197079	0.548174729000339	0.559467608817062	0.563806230815067	0.515014400464061	0.568643588314538	0.575164336508159	0.518977242628825	0.569087100930119	0.558204414225818	0.546755965270879	0.563451049758751	0.551282693210879	0.534840908552039	0.5585849922162	0.567806812046903	0.548991227997437	0.534215467939852	0.577541768476967	0.569002948602467	0.534934611035606	0.54499648755771	0.537963962952787	0.553089299169508	0.572935538512044	0.522389761086719	0.536776142280174	0.528426418018558	0.504450006843743	0.561117851044626	0.557728606966645	0.582847099002246	0.531961882314167	0.525140237167744	0.523713986629738
Immature..B.cellna	0.54024076807242	0.643565099436852	0.610141995828909	0.749765602621431	0.658743593250143	0.646331634306125	0.723848461112129	0.567996826186466	0.627885176596105	0.599366462410153	0.752076726084803	0.625474539356011	0.660824329408242	0.640163214660844	0.597522617209756	0.660966413332993	0.635485746055433	0.676842851953594	0.749809397612323	0.61767218769989	0.595783433861092	0.571360679963559	0.573579333219128	0.598191719072913	0.631910307640473	0.68169421074664	0.615729449741888	0.602827638045979	0.523656859860952	0.691705189541299	0.678087870970537	0.520347725604026	0.638752627365547	0.710591101603202	0.635139743065888	0.591954699956903	0.628193775509053	0.554028675784094	0.549732178993176	0.589331281402479	0.567838339989972	0.692038521904668	0.525300517777905	0.690053943660245	0.644376003084701	0.621211013172703	0.6521011165783	0.551742045041517	0.550951899985541	0.532313598470416	0.600076546454176	0.536943557567851	0.729692267661226	0.613979702937195	0.681704112972075	0.718820128530624	0.587112448532617	0.781947330077754	0.589018642737746	0.719501919311942	0.621795135633427	0.753670063594379	0.630972716270143	0.652541300472433	0.692684395929962	0.585198182679758	0.549874657952986	0.693057744522616	0.678943997107692	0.609345700853285	0.657401507031782	0.702319542476268	0.676282785996059	0.675280672171	0.514948268783555	0.518882271636059	0.613487981291451	0.714454656863006	0.56459534963497	0.627527534313426	0.620113867961374	0.542125771741181	0.590377652011164	0.65975354848693	0.689755586881875	0.698889065091711	0.648635833851431	0.669201162157932	0.611116511683281	0.627151453515727	0.624787705200613	0.64575570505	0.628673790145202	0.591838816057293	0.510668215307577	0.520049346040675	0.599316483769784	0.702430495775026	0.664983288592538	0.554612706387376
Immature.dendritic.cellna	0.485037708295225	0.538420299112538	0.477950644185883	0.513995841204167	0.471337589429107	0.518101539532152	0.503754455079895	0.549767073973746	0.458010102454732	0.529267170234952	0.499789589284887	0.496246269963592	0.497677105130399	0.50334064359725	0.490611938556718	0.508365977859396	0.508100337349866	0.498817524294763	0.508814384702165	0.489931614846482	0.475595180113839	0.54212879095975	0.533502107376242	0.509737723762081	0.561107685023774	0.491129752122047	0.525069220260281	0.482359746132146	0.491001546780492	0.469305764526191	0.525843425758452	0.52834765511208	0.503507634317078	0.532534683030564	0.522095918743785	0.536611659214076	0.518138140233479	0.481880043675001	0.521526278999003	0.489002913520777	0.484659131800239	0.504187395012875	0.523990926267161	0.506752663551945	0.519273209551938	0.510001154508653	0.513759058686965	0.511343354778672	0.510669248416938	0.54198095541768	0.528343127956535	0.521885722005842	0.513575981150391	0.515353781279767	0.482316370237078	0.503865065893901	0.500726418390764	0.504969015508526	0.500681595910135	0.536937767737548	0.507357935607307	0.48000345601205	0.520425892413727	0.529328445500011	0.468987953615528	0.499168139885645	0.522016399604481	0.515531556531507	0.478619262657468	0.528318282662596	0.525421697179971	0.465376898739783	0.528297884444464	0.492987713792214	0.510975072941401	0.477223520409377	0.534498879401732	0.528980400850683	0.506935411633457	0.49701634666992	0.490772937632742	0.528993625886581	0.516329793508515	0.490783616228984	0.506429056542423	0.505961891226763	0.474555538740229	0.530595655341859	0.530376809658126	0.459702796847963	0.487419138657821	0.501221640710601	0.517845765887766	0.493388987235208	0.505139526700761	0.471736586134392	0.511028345688948	0.557326086799824	0.458762230204015	0.494385900179208
